site_name,site_address,site_city,site_zip,site_state,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Bryce Ash Grove Ed Ctr,1101 N 1800 East Rd,Milford,60953-6264,IL,40.646708,-87.787672,1,range_interpolation,1101,N 1800 East Rd,,,Milford,IL,Iroquois County,60953,US,TIGER/Line® dataset from the US Census Bureau
Momence High School,101 N Franklin St,Momence,60954-1453,IL,41.163092,-87.670457,1,range_interpolation,101,N Franklin St,,,Momence,IL,Kankakee County,60954,US,TIGER/Line® dataset from the US Census Bureau
Momence Jr High School,801 W 2nd St,Momence,60954-1436,IL,41.164361,-87.673413,1,range_interpolation,801,W 2nd St,,,Momence,IL,Kankakee County,60954,US,TIGER/Line® dataset from the US Census Bureau
Je-Neir Elem School,1001 W 2nd St,Momence,60954-1440,IL,41.162906,-87.67749,1,rooftop,1001,W 2nd St,,,Momence,IL,Kankakee County,60954,US,Kankakee
Shabbona Elem School,321 N Convent St,Bourbonnais,60914-2015,IL,41.160979,-87.877537,1,rooftop,321,N Convent St,,,Bourbonnais,IL,Kankakee County,60914,US,Kankakee
Bradley Central Middle School,260 N Wabash Ave,Bradley,60915-1668,IL,41.144589,-87.865811,1,range_interpolation,260,N Wabash Ave,,,Bradley,IL,Kankakee County,60915,US,TIGER/Line® dataset from the US Census Bureau
Bradley West Elem School,200 W State St,Bradley,60915-2681,IL,41.022423,-87.713993,1,range_interpolation,200,W State St,,,Bradley,IL,Kankakee County,60915,US,TIGER/Line® dataset from the US Census Bureau
Bradley East Elem School,610 Liberty St,Bradley,60915-2424,IL,41.139399,-87.854719,1,rooftop,610,Liberty St,,,Bradley,IL,Kankakee County,60915,US,Kankakee
Avis Huff Student Support Services Center,369 N 5th Ave,Kankakee,60901-3574,IL,41.124791,-87.872049,1,rooftop,369,N 5th Ave,,,Kankakee,IL,Kankakee County,60901,US,Kankakee
Edison Primary School,1991 E Maple St,Kankakee,60901-5719,IL,41.112829,-87.840691,1,range_interpolation,1991,E Maple St,,,Kankakee,IL,Kankakee County,60901,US,TIGER/Line® dataset from the US Census Bureau
Steuben Elementary School,520 S Wildwood Ave,Kankakee,60901-5365,IL,41.11341,-87.854505,1,rooftop,520,S Wildwood Ave,,,Kankakee,IL,Kankakee County,60901,US,Kankakee
Mark Twain Primary School,2250 E Court St,Kankakee,60901-2800,IL,41.118827,-87.83447,1,range_interpolation,2250,E Court St,,,Kankakee,IL,Kankakee County,60901,US,TIGER/Line® dataset from the US Census Bureau
Taft Primary School,1155 W Hawkins St,Kankakee,60901-4615,IL,41.110178,-87.883889,1,range_interpolation,1155,W Hawkins St,,,Kankakee,IL,Kankakee County,60901,US,TIGER/Line® dataset from the US Census Bureau
Proegler School,710 N Chicago Ave,Kankakee,60901-2129,IL,41.128038,-87.85613,1,rooftop,710,N Chicago Ave,,,Kankakee,IL,Kankakee County,60901,US,Kankakee
Lincoln Cltrl Ctr-Montessori Elem,240 Warren Ave,Kankakee,60901-4319,IL,41.117136,-87.846471,1,rooftop,240,Warren Ave,,,Kankakee,IL,Kankakee County,60901,US,Kankakee
King Middle Grade School,1440 E Court St,Kankakee,60901-4344,IL,41.118348,-87.847111,1,rooftop,1440,E Court St,,,Kankakee,IL,Kankakee County,60901,US,Kankakee
John Kennedy Middle Grade School,1550 W Calista St,Kankakee,60901-3210,IL,41.111861,-87.885414,1,rooftop,1550,W Calista St,,,Kankakee,IL,Kankakee County,60901,US,Kankakee
Kankakee Junior High School,2250 E Crestwood St,Kankakee,60901-2803,IL,41.11554,-87.832934,1,range_interpolation,2250,E Crestwood St,,,Kankakee,IL,Kankakee County,60901,US,TIGER/Line® dataset from the US Census Bureau
Kankakee High School,1200 W Jeffery St,Kankakee,60901-4667,IL,41.103323,-87.885542,1,rooftop,1200,W Jeffery St,,,Kankakee,IL,Kankakee County,60901,US,Kankakee
St Anne Elem School,PO Box 530,Saint Anne,60964-0530,IL,41.068206,-87.687329,0.33,place,530,PO Box,,,Saint Anne,IL,Kankakee County,60964,US,TIGER/Line® dataset from the US Census Bureau
Kankakee Area Co-Op Day School,PO Box 71,Saint Anne,60964-0071,IL,41.068206,-87.687329,0.33,place,71,PO Box,,,Saint Anne,IL,Kankakee County,60964,US,TIGER/Line® dataset from the US Census Bureau
Lorenzo R Smith Elem School,PO Box 546,Hopkins Park,60944-0546,IL,41.146464,-87.888971,0.33,place,546,PO Box,,,Hopkins Park,IL,Kankakee County,60944,US,TIGER/Line® dataset from the US Census Bureau
St Anne Comm High School,650 W Guertin St,Saint Anne,60964-7306,IL,41.021309,-87.71754,0.6,street_center,,W Guertin St,,,Saint Anne,IL,Kankakee County,60964,US,TIGER/Line® dataset from the US Census Bureau
RAES West,105 N E St Ste 1,Monmouth,61462-1667,IL,40.912734,-90.654018,1,rooftop,105,N E St,Ste,1,Monmouth,IL,Warren County,61462,US,Warren
RAES RSSP,121 S Prairie St,Galesburg,61401-4647,IL,40.946128,-90.367817,1,rooftop,121,S Prairie St,,,Galesburg,IL,Knox County,61401,US,Knox
RAES West Alt Ed,105 N E St Ste 1,Monmouth,61462-1667,IL,40.912734,-90.654018,1,rooftop,105,N E St,Ste,1,Monmouth,IL,Warren County,61462,US,Warren
RAES East Alt Ed,121 S Prairie St,Galesburg,61401-4812,IL,40.946128,-90.367817,1,rooftop,121,S Prairie St,,,Galesburg,IL,Knox County,61401,US,Knox
West Central High School,1514 US Route 34,Biggsville,61418-9711,IL,40.850618,-90.8657,0.6,street_center,,State Rte 94,,,Biggsville,IL,Henderson County,61418,US,TIGER/Line® dataset from the US Census Bureau
West Central Middle School,PO Box 179,Stronghurst,61480-0179,IL,40.719278,-90.894204,0.33,place,179,PO Box,,,Stronghurst,IL,Henderson County,61480,US,TIGER/Line® dataset from the US Census Bureau
West Central Elementary School,1514 US Route 34,Biggsville,61418-5012,IL,40.850618,-90.8657,0.6,street_center,,State Rte 94,,,Biggsville,IL,Henderson County,61418,US,TIGER/Line® dataset from the US Census Bureau
Mary Davis Home,1319 E 5th St,Galesburg,61401-6667,IL,40.933677,-90.349877,1,rooftop,1319,E 5th St,,,Galesburg,IL,Knox County,61401,US,Knox
Mable Woolsey Elem School,106 Pleasant Ave,Knoxville,61448-1440,IL,40.901929,-90.276671,1,range_interpolation,106,Pleasant Ave,,,Knoxville,IL,Knox County,61448,US,TIGER/Line® dataset from the US Census Bureau
Galesburg High School,1135 W Fremont St,Galesburg,61401-2432,IL,40.965744,-90.392007,1,rooftop,1135,W Fremont St,,,Galesburg,IL,Knox County,61401,US,Knox
Bright Futures Pre-K Prog,932 Harrison St,Galesburg,61401-3057,IL,40.957398,-90.353684,1,rooftop,932,Harrison St,,,Galesburg,IL,Knox County,61401,US,Knox
Gale School,1131 W Dayton St,Galesburg,61401-1507,IL,40.96584,-90.386926,0.9,range_interpolation,1131,W Dayton St,,,Galesburg,IL,Knox County,61401,US,TIGER/Line® dataset from the US Census Bureau
Churchill Jr High School,905 Maple Ave,Galesburg,61401-2629,IL,40.957975,-90.378507,1,range_interpolation,905,Maple Ave,,,Galesburg,IL,Knox County,61401,US,TIGER/Line® dataset from the US Census Bureau
Silas Willard Elem School,460 Fifer St,Galesburg,61401-2014,IL,40.962624,-90.362451,1,rooftop,460,Fifer St,,,Galesburg,IL,Knox County,61401,US,Knox
King School,1018 S Farnham St,Galesburg,61401-6324,IL,40.935786,-90.345794,1,range_interpolation,1018,S Farnham St,,,Galesburg,IL,Knox County,61401,US,TIGER/Line® dataset from the US Census Bureau
Nielson Elementary School,547 N Farnham St,Galesburg,61401-4015,IL,40.953682,-90.344213,1,rooftop,547,N Farnham St,,,Galesburg,IL,Knox County,61401,US,Knox
Steele School,1480 W Main St,Galesburg,61401-3318,IL,40.946283,-90.394416,1,rooftop,1480,W Main St,,,Galesburg,IL,Knox County,61401,US,Knox
Lombard Jr High School,1220 E Knox St,Galesburg,61401-5253,IL,40.938878,-90.351999,1,rooftop,1220,E Knox St,,,Galesburg,IL,Knox County,61401,US,Knox
Hedding Grade Sch,401 W Latimer St,Abingdon,61410-1227,IL,40.805603,-90.402989,1,rooftop,401,W Latimer St,,,Abingdon,IL,Knox County,61410,US,Knox
Abingdon-Avon Middle Sch,320 E Woods St,Avon,61415-9423,IL,40.664462,-90.429869,1,range_interpolation,320,E Woods St,,,Avon,IL,Fulton County,61415,US,TIGER/Line® dataset from the US Census Bureau
Avon Elem Sch,320 E Woods St,Avon,61415-9423,IL,40.664462,-90.429869,1,range_interpolation,320,E Woods St,,,Avon,IL,Fulton County,61415,US,TIGER/Line® dataset from the US Census Bureau
Monmouth-Roseville High Sch,325 W 1st Ave,Monmouth,61462-1609,IL,40.910932,-90.651228,1,range_interpolation,325,W 1st Ave,,,Monmouth,IL,Warren County,61462,US,TIGER/Line® dataset from the US Census Bureau
Monmouth-Roseville Jr High Sch,200 E Gossett St,Roseville,61473-9131,IL,40.726075,-90.661008,1,rooftop,200,E Gossett St,,,Roseville,IL,Warren County,61473,US,Warren
Lincoln Early Childhood School,325 S 11th St,Monmouth,61462-2473,IL,40.908162,-90.630142,1,rooftop,325,S 11th St,,,Monmouth,IL,Warren County,61462,US,Warren
Central Intermediate School,401 E 2nd Ave,Monmouth,61462-2207,IL,40.908914,-90.644044,1,rooftop,401,E 2nd Ave,,,Monmouth,IL,Warren County,61462,US,Warren
Harding Primary School,415 E 9th Ave,Monmouth,61462-2755,IL,40.900988,-90.644046,1,rooftop,415,E 9th Ave,,,Monmouth,IL,Warren County,61462,US,Warren
United Elem Sch - West,2140 State Highway 135,Monmouth,61462-8905,IL,40.943215,-90.749763,1,rooftop,2140,State Highway 135,,,Monmouth,IL,Warren County,61462,US,Warren
Kenneth Murphy School,11315 W Wadsworth Rd,Beach Park,60099-3359,IL,42.428651,-87.850906,1,rooftop,11315,W Wadsworth Rd,,,Beach Park,IL,Lake County,60099,US,Lake
Oak Crest School,38550 N Lewis Ave,Beach Park,60099-3308,IL,42.421343,-87.856313,1,rooftop,38550,N Lewis Ave,,,Zion,IL,Lake County,60099,US,Lake
Beach Park Middle School,40667 N Green Bay Rd,Beach Park,60099-9550,IL,42.452796,-87.877786,1,rooftop,40667,N Green Bay Rd,,,Beach Park,IL,Lake County,60099,US,Lake
Newport Elem School,15872 W 21st St,Wadsworth,60083-8918,IL,42.463218,-87.93701,1,rooftop,15872,W 21st St,,,Wadsworth,IL,Lake County,60083,US,Lake
Howe Elementary School,10271 W Beach Rd,Beach Park,60087-1773,IL,42.419908,-87.831154,1,rooftop,10271,W Beach Rd,,,Beach Park,IL,Lake County,60087,US,Lake
East Elementary School,2913 Elim Ave,Zion,60099-3209,IL,42.441691,-87.82357,1,rooftop,2913,Elim Ave,,,Zion,IL,Lake County,60099,US,Lake
Lakeview School,2200 Bethesda Blvd,Zion,60099-2352,IL,42.455264,-87.834628,1,rooftop,2200,Bethesda Blvd,,,Zion,IL,Lake County,60099,US,Lake
Elmwood Elem School,3025 Ezra Ave,Zion,60099-3124,IL,42.439464,-87.837205,1,rooftop,3025,Ezra Ave,,,Zion,IL,Lake County,60099,US,Lake
Beulah Park Elem School,1910 Gilboa Ave,Zion,60099-1629,IL,42.460073,-87.842481,1,rooftop,1910,Gilboa Ave,,,Zion,IL,Lake County,60099,US,Lake
Shiloh Park Elem School,2635 Gabriel Ave,Zion,60099-2530,IL,42.4472,-87.838095,1,rooftop,2635,Gabriel Ave,,,Zion,IL,Lake County,60099,US,Lake
West Elementary School,2412 Jethro Ave,Zion,60099-2117,IL,42.451362,-87.851025,1,rooftop,2412,Jethro Ave,,,Zion,IL,Lake County,60099,US,Lake
Zion Central Middle School,1716 27th St,Zion,60099-2553,IL,42.446808,-87.835071,1,rooftop,1716,27th St,,,Zion,IL,Lake County,60099,US,Lake
Lake County,18 N County St # 10,Waukegan,60085-4304,IL,42.360368,-87.833057,1,rooftop,18,N County St,,10,Waukegan,IL,Lake County,60085,US,Lake
One Hope United - Baker Home,1400 E McCord St,Centralia,62801-3702,IL,38.525358,-89.116107,1,range_interpolation,1400,E McCord St,,,Centralia,IL,Marion County,62801,US,TIGER/Line® dataset from the US Census Bureau
CARE Day School,PO Box 1128,Lake Villa,60046-1128,IL,42.381271,-87.999077,0.33,place,1128,PO Box,,,Lake Villa,IL,Lake County,60046,US,TIGER/Line® dataset from the US Census Bureau
One Hope United - Hudelson Reg,PO Box 548,Centralia,62801-9109,IL,38.52505,-89.1334,0.33,place,548,PO Box,,,Centralia,IL,Marion County,62801,US,TIGER/Line® dataset from the US Census Bureau
Gurnee Christian School,2190 Fuller Rd,Gurnee,60031-1910,IL,42.392153,-87.929448,1,rooftop,2190,Fuller Rd,,,Gurnee,IL,Lake County,60031,US,Lake
Gavin Central Elementary School,36414 N Ridge Rd,Ingleside,60041-8459,IL,42.394831,-88.141107,1,rooftop,36414,N Ridge Rd,,,Ingleside,IL,Lake County,60041,US,Lake
Gavin South Middle School,25775 W IL Route 134,Ingleside,60041-9587,IL,42.366864,-88.135928,1,rooftop,25775,W IL Route 134,,,Ingleside,IL,Lake County,60041,US,Lake
Waukegan High School,2325 Brookside Ave,Waukegan,60085-3378,IL,42.363434,-87.863197,1,rooftop,2325,Brookside Ave,,,Waukegan,IL,Lake County,60085,US,Lake
John S Clark Elem School,601 Blanchard Rd,Waukegan,60087-3146,IL,42.398552,-87.837924,1,rooftop,601,Blanchard Rd,,,Waukegan,IL,Lake County,60087,US,Lake
Hyde Park Elem School,1525 Hyde Park Ave,Waukegan,60085-3631,IL,42.365579,-87.850391,1,rooftop,1525,Hyde Park Ave,,,Waukegan,IL,Lake County,60085,US,Lake
Greenwood Elem School,1919 North Ave,Waukegan,60087-5113,IL,42.386955,-87.83509,1,rooftop,1919,North Ave,,,Waukegan,IL,Lake County,60087,US,Lake
Andrew Cooke Magnet Elem School,522 Belvidere Rd,Waukegan,60085-6305,IL,42.35488,-87.836777,1,rooftop,522,Belvidere Rd,,,Waukegan,IL,Lake County,60085,US,Lake
Little Fort Elem School,1775 Blanchard Rd,Waukegan,60087-3014,IL,42.398309,-87.852489,1,rooftop,1775,Blanchard Rd,,,Waukegan,IL,Lake County,60087,US,Lake
H R McCall Elem School,3215 N McAree Rd,Waukegan,60087-2020,IL,42.410864,-87.863925,1,rooftop,3215,N McAree Rd,,,Waukegan,IL,Lake County,60087,US,Lake
Clearview Elem School,1700 Delaware Rd,Waukegan,60087-4622,IL,42.384166,-87.862191,1,rooftop,1700,Delaware Rd,,,Waukegan,IL,Lake County,60087,US,Lake
Glen Flora Elem School,1110 Chestnut St,Waukegan,60085-2982,IL,42.375693,-87.841503,1,rooftop,1110,Chestnut St,,,Waukegan,IL,Lake County,60085,US,Lake
Oakdale Elem School,2230 N McAree Rd,Waukegan,60087-3645,IL,42.394105,-87.868471,1,rooftop,2230,N McAree Rd,,,Waukegan,IL,Lake County,60087,US,Lake
Washington Elem School,110 S Orchard Ave,Waukegan,60085-5049,IL,42.356899,-87.862384,1,rooftop,110,S Orchard Ave,,,Waukegan,IL,Lake County,60085,US,Lake
Whittier Elem School,901 N Lewis Ave,Waukegan,60085-2626,IL,42.371985,-87.854648,1,rooftop,901,N Lewis Ave,,,Waukegan,IL,Lake County,60085,US,Lake
Lyon Magnet Elementary School,800 S Elmwood Ave,Waukegan,60085-7242,IL,42.344039,-87.854837,1,rooftop,800,S Elmwood Ave,,,Waukegan,IL,Lake County,60085,US,Lake
Carman-Buckner Elem School,520 Helmholz Ave,Waukegan,60085-6428,IL,42.348394,-87.837682,1,rooftop,520,Helmholz Ave,,,Waukegan,IL,Lake County,60085,US,Lake
Jack Benny Middle School,1401 Montesano Ave,Waukegan,60087-4818,IL,42.395004,-87.847146,1,rooftop,1401,Montesano Ave,,,Waukegan,IL,Lake County,60087,US,Lake
North Elem School,410 Franklin St,Waukegan,60085-4035,IL,42.368872,-87.834666,1,rooftop,410,Franklin St,,,Waukegan,IL,Lake County,60085,US,Lake
Daniel Webster Middle School,930 New York St,Waukegan,60085-2722,IL,42.372452,-87.851291,1,rooftop,930,New York St,,,Waukegan,IL,Lake County,60085,US,Lake
Glenwood Elementary School,2500 Northmoor Ave,Waukegan,60085-2528,IL,42.376064,-87.864072,1,rooftop,2500,Northmoor Ave,,,Waukegan,IL,Lake County,60085,US,Lake
Robert E Abbott Middle School,1319 Washington St,Waukegan,60085-5342,IL,42.358741,-87.847188,1,rooftop,1319,Washington St,,,Waukegan,IL,Lake County,60085,US,Lake
Miguel Juarez Middle School,201 N Butrick St,Waukegan,60085-3724,IL,42.362851,-87.847725,1,rooftop,201,N Butrick St,,,Waukegan,IL,Lake County,60085,US,Lake
Thomas Jefferson Middle School,600 S Lewis Ave,Waukegan,60085-6102,IL,42.347031,-87.856898,1,rooftop,600,S Lewis Ave,,,Waukegan,IL,Lake County,60085,US,Lake
Diamond Lake School,25807 N Diamond Lake Rd,Mundelein,60060-9415,IL,42.238301,-88.003315,1,rooftop,25807,N Diamond Lake Rd,,,Mundelein,IL,Lake County,60060,US,Lake
West Oak Intermediate School,500 Acorn Ln,Mundelein,60060-4019,IL,42.244139,-88.013819,0.9,range_interpolation,500,N Acorn Ln,,,Mundelein,IL,Lake County,60060,US,TIGER/Line® dataset from the US Census Bureau
West Oak Middle School,500 Acorn Ln,Mundelein,60060-4019,IL,42.244139,-88.013819,0.9,range_interpolation,500,N Acorn Ln,,,Mundelein,IL,Lake County,60060,US,TIGER/Line® dataset from the US Census Bureau
Allendale-Stepping Stone-LINC,1055 Lake Ave,Woodstock,60098-7409,IL,42.302596,-88.43018,1,rooftop,1055,Lake Ave,,,Woodstock,IL,McHenry County,60098,US,Mchenry
Allendale School,PO Box 1088,Lake Villa,60046-1088,IL,42.381271,-87.999077,0.33,place,1088,PO Box,,,Lake Villa,IL,Lake County,60046,US,TIGER/Line® dataset from the US Census Bureau
Allendale-Walter Cherry,421 W Water St,Waukegan,60085-5527,IL,42.357977,-87.83497,1,rooftop,421,W Water St,,,Waukegan,IL,Lake County,60085,US,Lake
Allendale-Becker House,448 N Genesee St,Waukegan,60085-4006,IL,42.366906,-87.831577,1,rooftop,448,N Genesee St,,,Waukegan,IL,Lake County,60085,US,Lake
Allendale-North Chicago,1920 Sherman Ave,North Chicago,60064-2318,IL,42.324189,-87.862483,1,rooftop,1920,Sherman Ave,,,North Chicago,IL,Lake County,60064,US,Lake
Oak Terrace Elem School,240 Prairie Ave,Highwood,60040-1610,IL,42.200315,-87.814563,1,rooftop,240,Prairie Ave,,,Highwood,IL,Lake County,60040,US,Lake
Stanton School,101 Hawthorne Ln,Fox Lake,60020-1883,IL,42.389612,-88.162396,1,rooftop,101,Hawthorne Ln,,,Fox Lake,IL,Lake County,60020,US,Lake
Lotus School,29067 W Grass Lake Rd,Spring Grove,60081-9494,IL,42.429072,-88.183427,1,rooftop,29067,W Grass Lake Rd,,,Spring Grove,IL,Lake County,60081,US,Lake
Round Lake Senior High School,800 High School Dr,Round Lake,60073-2951,IL,42.362724,-88.09373,1,rooftop,800,High School Dr,,,Round Lake,IL,Lake County,60073,US,Lake
Round Lake Middle School,2000 Lotus Dr,Round Lake Heights,60073-1194,IL,42.38523,-88.102575,1,rooftop,2000,Lotus Dr,,,Round Lake Heights,IL,Lake County,60073,US,Lake
Indian Hill Elem School,1920 Lotus Dr,Round Lake Heights,60073-1122,IL,42.383796,-88.102612,1,rooftop,1920,Lotus Dr,,,Round Lake Heights,IL,Lake County,60073,US,Lake
Village Elementary School,880 W Nippersink Rd,Round Lake,60073-3701,IL,42.352881,-88.103469,1,rooftop,880,W Nippersink Rd,,,Round Lake,IL,Lake County,60073,US,Lake
Round Lake Beach Elem School,1421 Ardmore Dr,Round Lake Beach,60073-1918,IL,42.374062,-88.084934,1,rooftop,1421,Ardmore Dr,,,Round Lake Beach,IL,Lake County,60073,US,Lake
Pleviak Elem School,304 E Grand Ave,Lake Villa,60046-7860,IL,42.415866,-88.074551,1,rooftop,304,E Grand Ave,,,Lake Villa,IL,Lake County,60046,US,Lake
W J Murphy Elem School,220 Greenwood Dr,Round Lake Park,60073-3444,IL,42.352467,-88.083591,1,rooftop,220,Greenwood Dr,,,Round Lake Park,IL,Lake County,60073,US,Lake
Raymond Ellis Elem School,720 Central Park Dr,Round Lake Beach,60073-2400,IL,42.369589,-88.100419,1,rooftop,720,Central Park Dr,,,Round Lake Beach,IL,Lake County,60073,US,Lake
Magee Middle School,500 N Cedar Lake Rd,Round Lake,60073-2804,IL,42.35839,-88.093744,1,rooftop,500,N Cedar Lake Rd,,,Round Lake,IL,Lake County,60073,US,Lake
Wauconda Grade School,225 Osage St,Wauconda,60084-1746,IL,42.259483,-88.146475,1,rooftop,225,Osage St,,,Wauconda,IL,Lake County,60084,US,Lake
New Tech High - Zion-Benton East,1634 23rd St,Zion,60099-2345,IL,42.45461,-87.833731,1,rooftop,1634,23rd St,,,Zion,IL,Lake County,60099,US,Lake
Zion-Benton Twnshp Hi Sch,3901 21st St,Zion,60099-1476,IL,42.455983,-87.866264,1,rooftop,3901,21st St,,,Zion,IL,Lake County,60099,US,Lake
North Chicago Community High Sch,1717 17th St,North Chicago,60064-2052,IL,42.327173,-87.851851,1,rooftop,1717,17th St,,,North Chicago,IL,Lake County,60064,US,Lake
Green Bay Early Childhood Center,2100 Green Bay Rd,North Chicago,60064-2838,IL,42.320882,-87.868678,1,rooftop,2100,Green Bay Rd,,,North Chicago,IL,Lake County,60064,US,Lake
Evelyn Alexander School,1210 Adams St,North Chicago,60064-1317,IL,42.33734,-87.840041,1,rooftop,1210,Adams St,,,North Chicago,IL,Lake County,60064,US,Lake
A J Katzenmaier Academy,1829 Kennedy Dr,North Chicago,60064-2335,IL,42.325874,-87.862719,1,rooftop,1829,Kennedy Dr,,,North Chicago,IL,Lake County,60064,US,Lake
Forrestal Elem School,2833 E Washington Ave,Great Lakes,60088-1914,IL,42.301897,-87.866603,1,rooftop,2833,E Washington Ave,,,Great Lakes,IL,Lake County,60088,US,Lake
Neal Math Science Academy,1905 Argonne Dr,North Chicago,60064-2500,IL,42.324052,-87.855339,1,rooftop,1905,Argonne Dr,,,North Chicago,IL,Lake County,60064,US,Lake
Sunny Hill Elem School,2500 Helm Rd,Carpentersville,60110-1329,IL,42.13293,-88.251348,1,rooftop,2500,Helm Rd,,,Carpentersville,IL,Kane County,60110,US,Kane
Cyd Lash Academy,18042 W Gages Lake Rd,Gages Lake,60030-2839,IL,42.35503,-87.983757,1,rooftop,18042,W Gages Lake Rd,,,Grayslake,IL,Lake County,60030,US,Lake
ROE Alternative Prog of Lake Co,1415 27th St,Zion,60099-2345,IL,42.445911,-87.829423,1,rooftop,1415,27th St,,,Zion,IL,Lake County,60099,US,Lake
South School,300 N Ridgemoor Ave,Mundelein,,IL,42.267076,-88.016489,1,range_interpolation,300,N Ridgemoor Ave,,,Mundelein,IL,Lake County,60060,US,TIGER/Line® dataset from the US Census Bureau
Gages Lake School,18180 W Gages Lake Rd,Gages Lake,60030-1819,IL,42.353944,-87.986133,1,rooftop,18180,W Gages Lake Rd,,,Grayslake,IL,Lake County,60030,US,Lake
LMP ROE,2233 6th St,Peru,61354-2516,IL,41.329513,-89.13681,1,range_interpolation,2233,6th St,,,Peru,IL,LaSalle County,61354,US,TIGER/Line® dataset from the US Census Bureau
Circuit Breaker School,2233 6th St Ste 1,Peru,61354-2516,IL,41.329513,-89.13681,1,range_interpolation,2233,6th St,Ste,1,Peru,IL,LaSalle County,61354,US,TIGER/Line® dataset from the US Census Bureau
Earlville Elem School,PO Box 539,Earlville,60518-0539,IL,41.549922,-88.935981,0.33,place,539,PO Box,,,Earlville,IL,LaSalle County,60518,US,TIGER/Line® dataset from the US Census Bureau
LaSalle County Detention Home,707 E Etna Rd,Ottawa,61350-1047,IL,41.373485,-88.826816,1,range_interpolation,707,E Etna Rd,,,Ottawa,IL,LaSalle County,61350,US,TIGER/Line® dataset from the US Census Bureau
Streator Twp High School,202 W Lincoln Ave,Streator,61364-2102,IL,41.12598,-88.837305,0.9,range_interpolation,202,W Lincoln Ave,,,Streator,IL,LaSalle County,61364,US,TIGER/Line® dataset from the US Census Bureau
Northlawn Jr High School,202 E 1st St,Streator,61364-1591,IL,41.135589,-88.834009,1,range_interpolation,202,E 1st St,,,Streator,IL,LaSalle County,61364,US,TIGER/Line® dataset from the US Census Bureau
Kimes Elem School,1207 Reading St,Streator,61364-2686,IL,41.115788,-88.851378,1,range_interpolation,1207,Reading St,,,Streator,IL,LaSalle County,61364,US,TIGER/Line® dataset from the US Census Bureau
Centennial Elem School,614 Oakley Ave,Streator,61364-1020,IL,41.150149,-88.844711,1,range_interpolation,614,Oakley Ave,,,Streator,IL,LaSalle County,61364,US,TIGER/Line® dataset from the US Census Bureau
Lincoln Jr High School,1165 Saint Vincents Ave,La Salle,61301-1628,IL,41.340158,-89.096412,1,range_interpolation,1165,St Vincents Ave,,,Lasalle,IL,LaSalle County,61301,US,TIGER/Line® dataset from the US Census Bureau
Northwest Elem School,1735 Malcolm Ave,La Salle,61301-1299,IL,41.346472,-89.101381,0.9,range_interpolation,1735,Malcolm Ave,,,La Salle,IL,LaSalle County,61301,US,TIGER/Line® dataset from the US Census Bureau
Northview Elem School,2100 Plum Street,Peru,61354-1863,IL,41.340117,-89.123907,0.9,range_interpolation,2100,Plum St,,,Peru,IL,LaSalle County,61354,US,TIGER/Line® dataset from the US Census Bureau
Lincoln Elem School,755 Bennett Ave,Oglesby,61348-1067,IL,41.306984,-89.070599,1,range_interpolation,755,Bennett Ave,,,Oglesby,IL,LaSalle County,61348,US,TIGER/Line® dataset from the US Census Bureau
Shepherd Middle School,701 E McKinley Rd,Ottawa,61350-4811,IL,41.324392,-88.82954,1,range_interpolation,701,E McKinley Rd,,,Ottawa,IL,LaSalle County,61350,US,TIGER/Line® dataset from the US Census Bureau
Lincoln Elem School,1110 W Main St,Ottawa,61350-2603,IL,41.345695,-88.856814,1,range_interpolation,1110,W Main St,,,Ottawa,IL,LaSalle County,61350,US,TIGER/Line® dataset from the US Census Bureau
Central Intermediate School,711 E McKinley Rd,Ottawa,61350-4811,IL,41.324394,-88.829418,1,range_interpolation,711,E McKinley Rd,,,Ottawa,IL,LaSalle County,61350,US,TIGER/Line® dataset from the US Census Bureau
Jefferson Elem School,1709 Columbus St,Ottawa,61350-1526,IL,41.35788,-88.841169,1,range_interpolation,1709,Columbus St,,,Ottawa,IL,LaSalle County,61350,US,TIGER/Line® dataset from the US Census Bureau
Marseilles Elementary School,201 Chicago St,Marseilles,61341-2058,IL,41.325034,-88.697574,1,range_interpolation,201,Chicago St,,,Marseilles,IL,LaSalle County,61341,US,TIGER/Line® dataset from the US Census Bureau
Northbrook School,1804 Guiles Ave,Mendota,61342-1204,IL,41.559762,-89.118368,1,range_interpolation,1804,Guiles Ave,,,Mendota,IL,LaSalle County,61342,US,TIGER/Line® dataset from the US Census Bureau
Lincoln Elem School,805 4th Ave,Mendota,61342-1705,IL,41.548868,-89.112948,1,range_interpolation,805,4th Ave,,,Mendota,IL,LaSalle County,61342,US,TIGER/Line® dataset from the US Census Bureau
Blackstone Elem School,1309 Jefferson St,Mendota,61342-1429,IL,41.549132,-89.127781,1,range_interpolation,1309,Jefferson St,,,Mendota,IL,LaSalle County,61342,US,TIGER/Line® dataset from the US Census Bureau
Henry-Senachwine Grade School,201 Richard St,Henry,61537-1260,IL,41.114649,-89.353219,1,range_interpolation,201,Richard St,,,Henry,IL,Marshall County,61537,US,TIGER/Line® dataset from the US Census Bureau
Midland Middle School,901 Hilltop Dr,Sparland,61565-9792,IL,41.031229,-89.46656,1,range_interpolation,901,Hilltop Dr,,,Sparland,IL,Marshall County,61565,US,TIGER/Line® dataset from the US Census Bureau
