"","site_name","site_address","site_city","site_state","site_zip","latitude","longitude","site_type"
"1744","Irving Elem School","749 S Oakley Blvd","Chicago","IL","60612-3514",41.871661,-87.682888,"Schools"
"1745","Lavizzo Elem School","138 W 109th St","Chicago","IL","60628-3433",41.696461,-87.627225,"Schools"
"1746","Brighton Park Elem School","3825 S Washtenaw Ave","Chicago","IL","60632-1633",41.823956,-87.691847,"Schools"
"1747","Owens Community Academy ES","12302 S State St","Chicago","IL","60628-6811",41.669819,-87.623029,"Schools"
"1748","Jensen Elem Scholastic Academy","3030 W Harrison St","Chicago","IL","60612-3343",41.873887,-87.701699,"Schools"
"1749","Otis Elem School","525 N Armour St","Chicago","IL","60642-6105",41.891662,-87.6651,"Schools"
"1750","Pullman Elem School","11311 S Forrestville Ave","Chicago","IL","60628-5107",41.688696,-87.60894,"Schools"
"1751","Julian High School","10330 S Elizabeth St","Chicago","IL","60643-2394",41.705335,-87.654502,"Schools"
"1752","Talman Elem School","5450 S Talman Ave","Chicago","IL","60632-1520",41.794297,-87.690418,"Schools"
"1753","Gresham Elem School","8524 S Green St","Chicago","IL","60620-3234",41.738829,-87.645213,"Schools"
"1754","Harvard Elem School","7525 S Harvard Ave","Chicago","IL","60620-1616",41.757334,-87.632283,"Schools"
"1755","Wells Preparatory Elem Academy","249 E 37th St","Chicago","IL","60653-1001",41.826474,-87.619618,"Schools"
"1756","Rickover Naval Academy High Schl","5700 W Berteau Ave","Chicago","IL","60634-1717",41.957703,-87.770826,"Schools"
"1757","Carver Primary School","901 E 133rd Pl","Chicago","IL","60827-1427",41.653157,-87.600992,"Schools"
"1758","Melody Elem School","3937 W Wilcox St","Chicago","IL","60624-2833",41.878261,-87.724108,"Schools"
"1759","Ryder Elem Math & Sci Spec School","8716 S Wallace St","Chicago","IL","60620-2124",41.73488,-87.639334,"Schools"
"1760","Casals Elem School","3501 W Potomac Ave","Chicago","IL","60651-2231",41.904221,-87.713953,"Schools"
"1761","Taylor Elem School","9912 S Avenue H","Chicago","IL","60617-5597",41.715353,-87.533247,"Schools"
"1762","Wentworth Elem School","1340 W 71st St","Chicago","IL","60636-4150",41.765524,-87.658637,"Schools"
"1763","Joplin Elem School","7931 S Honore St","Chicago","IL","60620-4560",41.749487,-87.669141,"Schools"
"1764","Brennemann Elem School","4251 N Clarendon Ave","Chicago","IL","60613-1523",41.96012,-87.649108,"Schools"
"1765","Pickard Elem School","2301 W 21st Pl","Chicago","IL","60608-3809",41.852784,-87.683516,"Schools"
"1766","Chase Elem School","2021 N Point St","Chicago","IL","60647-4016",41.918381,-87.694592,"Schools"
"1767","Oglesby Elem School","7646 S Green St","Chicago","IL","60620-2854",41.754732,-87.645973,"Schools"
"1768","Lara Elem Academy","4619 S Wolcott Ave","Chicago","IL","60609-3855",41.809774,-87.671949,"Schools"
"1769","Westcott Elem School","409 W 80th St","Chicago","IL","60620-1135",41.748448,-87.635297,"Schools"
"1770","Great Lakes Academy Charter ES","8401 S Saginaw Ave","Chicago","IL","60617-2029",41.742064,-87.559403,"Schools"
"1771","Kelvyn Park High School","4343 W Wrightwood Ave","Chicago","IL","60639-2060",41.927094,-87.736045,"Schools"
"1772","Burnside Elem Scholastic Academy","650 E 91st Pl","Chicago","IL","60619-7698",41.728847,-87.608951,"Schools"
"1773","Fiske Elem School","6020 S Langley Ave","Chicago","IL","60637-2595",41.785332,-87.608953,"Schools"
"1774","Stagg Elem School","7424 S Morgan St","Chicago","IL","60621-1047",41.758909,-87.650325,"Schools"
"1775","Ruggles Elem School","7831 S Prairie Ave","Chicago","IL","60619-2893",41.751905,-87.617628,"Schools"
"1776","Erie Elem Charter School","1405 N Washtenaw Ave","Chicago","IL","60622-1632",41.906792,-87.694119,"Schools"
"1777","Englewood STEM High School","6835 S Normal Blvd","Chicago","IL","60621-2535",41.770159,-87.636214,"Schools"
"1778","Crane Medical Prep HS","2245 W Jackson Blvd","Chicago","IL","60612-2910",41.876865,-87.68325,"Schools"
"1779","Howe Elem School","720 N Lorel Ave","Chicago","IL","60644-1666",41.893542,-87.759942,"Schools"
"1780","Bass Elem School","1140 W 66th St","Chicago","IL","60621-1240",41.774525,-87.653537,"Schools"
"1781","Gillespie Elem School","9301 S State St","Chicago","IL","60619-7296",41.725217,-87.623421,"Schools"
"1782","Corkery Elem School","2510 S Kildare Ave","Chicago","IL","60623-3660",41.845331,-87.731892,"Schools"
"1783","Funston Elem School","2010 N Central Park Ave","Chicago","IL","60647-3659",41.917931,-87.717348,"Schools"
"1784","Burroughs Elem School","3542 S Washtenaw Ave","Chicago","IL","60632-1639",41.828754,-87.692983,"Schools"
"1785","Cooper Elem Dual Language Academy","1624 W 19th St","Chicago","IL","60608-2902",41.856418,-87.66726,"Schools"
"1786","Claremont Academy Elem School","2300 W 64th St","Chicago","IL","60636-2458",41.778273,-87.681664,"Schools"
"1787","Randolph Elem School","7316 S Hoyne Ave","Chicago","IL","60636-3755",41.76018,-87.677043,"Schools"
"1788","Parker Elem Community Academy","6800 S Stewart Ave","Chicago","IL","60621-2441",41.770103,-87.634747,"Schools"
"1789","Carroll Elem School","2929 W 83rd St","Chicago","IL","60652-3400",41.742155,-87.696923,"Schools"
"1790","Brunson Math & Sci Specialty Elem","932 N Central Ave","Chicago","IL","60651-2705",41.897691,-87.765851,"Schools"
"1791","Curtis Elem School","32 E 115th St","Chicago","IL","60628-5510",41.685601,-87.621848,"Schools"
"1792","Holden Elem School","1104 W 31st St","Chicago","IL","60608-5602",41.838274,-87.654004,"Schools"
"1793","Moos Elem School","1711 N California Ave","Chicago","IL","60647-5103",41.912731,-87.696454,"Schools"
"1794","Shoop Math-Sci Tech Elem Academy","11140 S Bishop St","Chicago","IL","60643-3607",41.691442,-87.658725,"Schools"
"1795","Orozco Elem Fine Arts & Sciences","1940 W 18th St","Chicago","IL","60608-1903",41.858139,-87.675324,"Schools"
"1796","Mireles Elem Academy","9000 S Exchange Ave","Chicago","IL","60617-4296",41.731738,-87.552681,"Schools"
"1797","Talcott Elem School","1840 W Ohio St","Chicago","IL","60622-5505",41.892614,-87.673299,"Schools"
"1798","Locke A Elem Charter Academy","3141 W Jackson Blvd","Chicago","IL","60612-2729",41.877068,-87.705011,"Schools"
"1799","Nicholson Technology Acad Elem Sch","6006 S Peoria St","Chicago","IL","60621-2114",41.784633,-87.647619,"Schools"
"1800","Smyth  J Elem School","1059 W 13th St","Chicago","IL","60608-1526",41.865461,-87.655492,"Schools"
"1801","Belmont-Cragin Elem School","5252 W Palmer St","Chicago","IL","60639-3047",41.920764,-87.758133,"Schools"
"1802","Burnham Elem Inclusive Academy","9928 S Crandon Ave","Chicago","IL","60617-5294",41.714429,-87.567626,"Schools"
"1803","Carver Military Academy HS","13100 S Doty Ave","Chicago","IL","60827-1597",41.656517,-87.589325,"Schools"
"1804","Sabin Elem Magnet School","2216 W Hirsch St","Chicago","IL","60622-1837",41.907338,-87.68288,"Schools"
"1805","Greeley Elem School","832 W Sheridan Rd","Chicago","IL","60613-3004",41.95302,-87.650537,"Schools"
"1806","Spencer Technology Acad Elem Sch","214 N Lavergne Ave","Chicago","IL","60644-2517",41.88532,-87.750811,"Schools"
"1807","Hampton Elem Fine & Perf Arts Sch","3434 W 77th St","Chicago","IL","60652-1453",41.753768,-87.708996,"Schools"
"1808","Ortiz De Dominguez Elem School","3000 S Lawndale Ave","Chicago","IL","60623-4524",41.837917,-87.718278,"Schools"
"1809","Hughes L Elem School","240 W 104th St","Chicago","IL","60628-2510",41.705729,-87.629453,"Schools"
"1810","Deneen Elem School","7240 S Wabash Ave","Chicago","IL","60619-1092",41.762419,-87.624045,"Schools"
"1811","Lewis Elem School","1431 N Leamington Ave","Chicago","IL","60651-1444",41.906766,-87.754295,"Schools"
"1812","Bradwell Comm Arts & Sci Elem Sch","7736 S Burnham Ave","Chicago","IL","60649-4702",41.754426,-87.557327,"Schools"
"1813","Ericson Elem Scholastic Academy","3600 W 5th Ave","Chicago","IL","60624-3162",41.875528,-87.715722,"Schools"
"1814","Jordan Elem Community School","7414 N Wolcott Ave","Chicago","IL","60626-1519",42.017134,-87.678052,"Schools"
"1815","Ellington Elem School","243 N Parkside Ave","Chicago","IL","60644-2243",41.884849,-87.76652,"Schools"
"1816","Sullivan Elem School","8331 S Mackinaw Ave","Chicago","IL","60617-2626",41.743876,-87.542439,"Schools"
"1817","Clay Elem School","13231 S Burley Ave","Chicago","IL","60633-1492",41.654593,-87.544368,"Schools"
"1818","Powell Elem Paideia Comm Academy","7511 S South Shore Dr","Chicago","IL","60649-4305",41.759361,-87.555768,"Schools"
"1819","EPIC Academy High School","8255 S Houston Ave","Chicago","IL","60617-2191",41.744984,-87.549745,"Schools"
"1820","Spry Elem Community School","2400 S Marshall Blvd","Chicago","IL","60623-4146",41.847809,-87.699779,"Schools"
"1821","Chicago Virtual Charter School","38 S Peoria St","Chicago","IL","60607-2628",41.880873,-87.650029,"Schools"
"1822","Depriest Elem School","139 S Parkside Ave","Chicago","IL","60644-3944",41.8783,-87.765981,"Schools"
"1823","De Diego Elem Community Academy","1313 N Claremont Ave","Chicago","IL","60622-2910",41.905809,-87.685533,"Schools"
"1824","Clark Acad Prep Magnet High Schl","5101 W Harrison St","Chicago","IL","60644-5102",41.872298,-87.752908,"Schools"
"1825","Univ of Chicago Chtr-Donoghue","707 E 37th St","Chicago","IL","60653-1406",41.827576,-87.60844,"Schools"
"1826","Cleveland Elem School","3121 W Byron St","Chicago","IL","60618-3403",41.951594,-87.706354,"Schools"
"1827","Kanoon Elem Magnet School","2233 S Kedzie Ave","Chicago","IL","60623-3317",41.850581,-87.704603,"Schools"
"1828","Haley Elem Academy","11411 S Eggleston Ave","Chicago","IL","60628-4737",41.686379,-87.633353,"Schools"
"1829","Greene N Elem School","3525 S Honore St","Chicago","IL","60609-1210",41.829692,-87.671223,"Schools"
"1830","West Park Elem Academy","1425 N Tripp Ave","Chicago","IL","60651-1829",41.906937,-87.732204,"Schools"
"1831","Fairfield Elem Academy","6201 S Fairfield Ave","Chicago","IL","60629-2309",41.7801,-87.691598,"Schools"
"1832","Northwest Middle School","5252 W Palmer St","Chicago","IL","60639-3047",41.920764,-87.758133,"Schools"
"1833","Henry Elem School","4250 N Saint Louis Ave","Chicago","IL","60618-1121",41.958754,-87.715886,"Schools"
"1834","Phoenix Military Academy HS","145 S Campbell Ave","Chicago","IL","60612-2923",41.879089,-87.688145,"Schools"
"1835","Wadsworth Elem School","6650 S Ellis Ave","Chicago","IL","60637-4216",41.774621,-87.601289,"Schools"
"1836","Mozart Elem School","2200 N Hamlin Ave","Chicago","IL","60647-2222",41.921506,-87.722409,"Schools"
"1837","Barry Elem School","2828 N Kilbourn Ave","Chicago","IL","60641-5381",41.93267,-87.739655,"Schools"
"1838","Hedges Elem School","4747 S Winchester Ave","Chicago","IL","60609-4140",41.807061,-87.673076,"Schools"
"1839","Daley Elem Academy","5024 S Wolcott Ave","Chicago","IL","60609-4856",41.802141,-87.67246,"Schools"
"1840","Darwin Elem School","3116 W Belden Ave","Chicago","IL","60647-2806",41.923619,-87.705424,"Schools"
"1841","Farragut Career Academy HS","2345 S Christiana Ave","Chicago","IL","60623-3217",41.848959,-87.7081,"Schools"
"1842","Shields Middle School","2611 W 48th St","Chicago","IL","60632-1402",41.806421,-87.689781,"Schools"
"1843","OKeeffe Elem School","6940 S Merrill Ave","Chicago","IL","60649-1721",41.768847,-87.573091,"Schools"
"1844","Hamline Elem School","4747 S Bishop St","Chicago","IL","60609-4206",41.807428,-87.660951,"Schools"
"1845","Morrill Elem Math & Sci School","6011 S Rockwell St","Chicago","IL","60629-1133",41.783733,-87.688045,"Schools"
"1846","Chicago Math & Sci Elem Charter","7212 N Clark St","Chicago","IL","60626-2416",42.013119,-87.675192,"Schools"
"1847","McCormick Elem School","2712 S Sawyer Ave","Chicago","IL","60623-4738",41.842035,-87.706536,"Schools"
"1848","Carnegie Elem School","1414 E 61st Pl","Chicago","IL","60637-2999",41.783709,-87.591074,"Schools"
"1849","Seward Elem Communication Arts Ac","4600 S Hermitage Ave","Chicago","IL","60609-3831",41.809872,-87.669034,"Schools"
"1850","Pasteur Elem School","5825 S Kostner Ave","Chicago","IL","60629-5238",41.786783,-87.732108,"Schools"
"1851","Ruiz Elem School","2410 S Leavitt St","Chicago","IL","60608-4032",41.848012,-87.681393,"Schools"
"1852","Piccolo Elem Specialty School","1040 N Keeler Ave","Chicago","IL","60651-3514",41.900296,-87.732392,"Schools"
"1853","New Field Elem School","1707 W Morse Ave","Chicago","IL","60626-3203",42.007542,-87.673144,"Schools"
"1854","Phillips Academy High School","244 E Pershing Rd","Chicago","IL","60653-2222",41.824865,-87.619814,"Schools"
"1855","Walter Henri Dyett High School for the Arts","555 E 51st St","Chicago","IL","60615-2452",41.801378,-87.611868,"Schools"
"1856","Southeast Area Elementary School","3930 E 105th St","Chicago","IL","",41.704767,-87.52819,"Schools"
"1857","Stowe Elem School","3444 W Wabansia Ave","Chicago","IL","60647-4813",41.912509,-87.712937,"Schools"
"1858","Goudy Technology Academy","5120 N Winthrop Ave","Chicago","IL","60640-3112",41.975853,-87.65821,"Schools"
"1859","Avondale - Logandale Elementary School","3212 W George St","Chicago","IL","60618-7529",41.934262,-87.708005,"Schools"
"1860","Davis N Elem School","3014 W 39th Pl","Chicago","IL","60632-2402",41.822194,-87.700826,"Schools"
"1861","Sullivan High School","6631 N Bosworth Ave","Chicago","IL","60626-4223",42.00301,-87.668707,"Schools"
"1862","ASPIRA Business and Finance High School","2989 N Milwaukee Ave","Chicago","IL","60618-7347",41.935973,-87.718122,"Schools"
"1863","Bouchet Elem Math & Science Acad","7355 S Jeffery Blvd","Chicago","IL","60649-3121",41.761177,-87.575805,"Schools"
"1864","Shields Elem School","4250 S Rockwell St","Chicago","IL","60632-1216",41.816155,-87.690168,"Schools"
"1865","McPherson Elem School","4728 N Wolcott Ave","Chicago","IL","60640-4364",41.96816,-87.678114,"Schools"
"1866","Gallistel Elem Language Academy","10347 S Ewing Ave","Chicago","IL","60617-6028",41.706893,-87.534926,"Schools"
"1867","Clemente Community Academy HS","1147 N Western Ave","Chicago","IL","60622-2931",41.902556,-87.68577,"Schools"
"1868","Schubert Elem School","2727 N Long Ave","Chicago","IL","60639-1529",41.930199,-87.760696,"Schools"
"1869","Linne Elem School","3221 N Sacramento Ave","Chicago","IL","60618-5825",41.940086,-87.701906,"Schools"
"1870","Zapata Elem Academy","2728 S Kostner Ave","Chicago","IL","60623-4218",41.841403,-87.735174,"Schools"
"1871","Young Elem School","1434 N Parkside Ave","Chicago","IL","60651-1106",41.906744,-87.767643,"Schools"
"1872","Addams Elem School","10810 S Avenue H","Chicago","IL","60617-6726",41.69875,-87.540487,"Schools"
"1873","McAuliffe Elem School","1841 N Springfield Ave","Chicago","IL","60647-4600",41.914581,-87.723481,"Schools"
"1874","Nobel Elem School","4127 W Hirsch St","Chicago","IL","60651-1806",41.90582,-87.72985,"Schools"
"1875","McKay Elem School","6901 S Fairfield Ave","Chicago","IL","60629-1912",41.76708,-87.691264,"Schools"
"1876","Foreman High School","3235 N Leclaire Ave","Chicago","IL","60641-4290",41.940028,-87.753888,"Schools"
"1877","Cameron Elem School","1234 N Monticello Ave","Chicago","IL","60651-2217",41.90388,-87.718618,"Schools"
"1878","Dulles Elem School","6311 S Calumet Ave","Chicago","IL","60637-3198",41.779655,-87.616489,"Schools"
"1879","Scammon Elem School","4201 W Henderson St","Chicago","IL","60641-4627",41.94148,-87.733452,"Schools"
"1880","Nixon Elem School","2121 N Keeler Ave","Chicago","IL","60639-3603",41.919664,-87.731185,"Schools"
"1881","Little Village Elem School","2620 S Lawndale Ave","Chicago","IL","60623-4519",41.842774,-87.718064,"Schools"
"1882","Horizon Sci Academy - Southwest Charter","5401 S Western Ave","Chicago","IL","60609-5438",41.795312,-87.684072,"Schools"
"1883","Hyde Park Academy High School","6220 S Stony Island Ave","Chicago","IL","60637-2998",41.782168,-87.587477,"Schools"
"1884","Herzl Elem School","3711 W Douglas Blvd","Chicago","IL","60623-1413",41.862218,-87.717832,"Schools"
"1885","Calmeca Acad Elem School","3456 W 38th St","Chicago","IL","60632-3304",41.824459,-87.710713,"Schools"
"1886","Gunsaulus Elem Scholastic Academy","4420 S Sacramento Ave","Chicago","IL","60632-2509",41.812736,-87.699862,"Schools"
"1887","West Ridge Elem School","6700 N Whipple St","Chicago","IL","60645-4123",42.003054,-87.705806,"Schools"
"1888","Chicago Vocational Career Acad HS","2100 E 87th St","Chicago","IL","60617-3011",41.738066,-87.572709,"Schools"
"1889","Marsh Elem School","9822 S Exchange Ave","Chicago","IL","60617-5446",41.716243,-87.553133,"Schools"
"1890","Garcia Lorca Elem School","3231 N Springfield Ave","Chicago","IL","60618-5109",41.940119,-87.724286,"Schools"
"1891","Monroe Elem School","3651 W Schubert Ave","Chicago","IL","60647-1157",41.929741,-87.718974,"Schools"
"1892","Reilly Elem School","3650 W School St","Chicago","IL","60618-5358",41.941591,-87.719291,"Schools"
"1893","Reinberg Elem School","3425 N Major Ave","Chicago","IL","60634-4334",41.942677,-87.767866,"Schools"
"1894","Kilmer Elem School","6700 N Greenview Ave","Chicago","IL","60626-4208",42.004334,-87.668502,"Schools"
"1895","Volta Elem School","4950 N Avers Ave","Chicago","IL","60625-6011",41.971436,-87.725098,"Schools"
"1896","Boone Elem School","6710 N Washtenaw Ave","Chicago","IL","60645-4511",42.003935,-87.697986,"Schools"
"1897","Whitney Elem School","2815 S Komensky Ave","Chicago","IL","60623-4450",41.840049,-87.725329,"Schools"
"1898","National Teachers Elem Academy","55 W Cermak Rd","Chicago","IL","60616-2001",41.851541,-87.628532,"Schools"
"1899","Marine Leadership Academy - Ames","1920 N Hamlin Ave","Chicago","IL","60647-3411",41.916486,-87.722382,"Schools"
"1900","Hurley Elem School","3849 W 69th Pl","Chicago","IL","60629-4210",41.766544,-87.719277,"Schools"
"1901","Burbank Elem School","2035 N Mobile Ave","Chicago","IL","60639-3809",41.91731,-87.781536,"Schools"
"1902","Peck Elem School","3826 W 58th St","Chicago","IL","60629-3849",41.788084,-87.719717,"Schools"
"1903","Chavez Elem Multicultural Acad Ct","4747 S Marshfield Ave","Chicago","IL","60609-4159",41.808031,-87.665653,"Schools"
"1904","Dawes Elem School","3810 W 81st Pl","Chicago","IL","60652-2400",41.745148,-87.717071,"Schools"
"1905","Sandoval Elem School","5534 S Saint Louis Ave","Chicago","IL","60629-3810",41.792343,-87.712016,"Schools"
"1906","Hayt Elem School","1518 W Granville Ave","Chicago","IL","60660-1812",41.994731,-87.668692,"Schools"
"1907","Hibbard Elem School","3244 W Ainslie St","Chicago","IL","60625-5018",41.970842,-87.710376,"Schools"
"1908","Columbia Explorers Elem Academy","4520 S Kedzie Ave","Chicago","IL","60632-2904",41.810982,-87.704432,"Schools"
"1909","Tonti Elem School","5815 S Homan Ave","Chicago","IL","60629-3636",41.7871,-87.707665,"Schools"
"1910","Lloyd Elem School","2103 N Lamon Ave","Chicago","IL","60639-3238",41.919202,-87.747673,"Schools"
"1911","Prieto Math-Science Elem Sch","2231 N Central Ave","Chicago","IL","60639-2956",41.921192,-87.765231,"Schools"
"1912","Camras Elem School","3000 N Mango Ave","Chicago","IL","60634-5216",41.935298,-87.770385,"Schools"
"1913","Carson Elem School","5516 S Maplewood Ave","Chicago","IL","60629-1023",41.793114,-87.687948,"Schools"
"1914","Haugan Elem School","4540 N Hamlin Ave","Chicago","IL","60625-5928",41.964031,-87.723635,"Schools"
"1915","Bateman Elem School","4220 N Richmond St","Chicago","IL","60618-2616",41.958741,-87.702933,"Schools"
"1916","Tarkington Elem School","3330 W 71st St","Chicago","IL","60629-3503",41.764485,-87.705628,"Schools"
"1917","Roosevelt High School","3436 W Wilson Ave","Chicago","IL","60625-5318",41.965013,-87.71517,"Schools"
"1918","Hernandez Middle School","3510 W 55th St","Chicago","IL","60632-3284",41.793686,-87.711969,"Schools"
"1919","North-Grand High School","4338 W Wabansia Ave","Chicago","IL","60639-4837",41.912566,-87.734971,"Schools"
"1920","Falconer Elem School","3020 N Lamon Ave","Chicago","IL","60641-5195",41.935595,-87.749942,"Schools"
"1921","Gary Elem School","3740 W 31st St","Chicago","IL","60623-5035",41.837899,-87.718834,"Schools"
"1922","Gray Elem School","3730 N Laramie Ave","Chicago","IL","60641-3338",41.949189,-87.758259,"Schools"
"1923","Back of The Yards IB HS","2111 W 47th St","Chicago","IL","60609-4011",41.808346,-87.677303,"Schools"
"1924","Cardenas Elem School","2345 S Millard Ave","Chicago","IL","60623-3110",41.848415,-87.715779,"Schools"
"1925","Nightingale Elem School","5250 S Rockwell St","Chicago","IL","60632-1540",41.798365,-87.689663,"Schools"
"1926","Beasley Elem Magnet Academic Ctr","5255 S State St","Chicago","IL","60609-6303",41.798643,-87.625082,"Schools"
"1927","Marquette Elem School","6550 S Richmond St","Chicago","IL","60629-2821",41.774207,-87.697708,"Schools"
"1928","Clinton Elem School","6110 N Fairfield Ave","Chicago","IL","60659-2647",41.992831,-87.698642,"Schools"
"1929","Richardson Middle School","6018 S Karlov Ave","Chicago","IL","60629-4900",41.783748,-87.725499,"Schools"
"1930","Ombudsman Chicago West","2401 W Congress Pkwy","Chicago","IL","60612-3534",41.874672,-87.686557,"Schools"
"1931","Solorio Academy High School","5400 S St Louis Ave","Chicago","IL","60632-3287",41.795458,-87.711514,"Schools"
"1932","Saucedo Elem Scholastic Academy","2850 W 24th Blvd","Chicago","IL","60623-3508",41.848959,-87.697955,"Schools"
"1933","Eberhart Elem School","3400 W 65th Pl","Chicago","IL","60629-3402",41.774774,-87.7091,"Schools"
"1934","Armstrong G Elem IntL Studies","2110 W Greenleaf Ave","Chicago","IL","60645-3620",42.010429,-87.685027,"Schools"
"1935","Little Village HS","3120 S Kostner Ave","Chicago","IL","60623",41.835159,-87.735561,"Schools"
"1936","Sawyer Elem School","5248 S Sawyer Ave","Chicago","IL","60632-3131",41.797572,-87.705256,"Schools"
"1937","Lyon Elem School","2941 N McVicker Ave","Chicago","IL","60634-5146",41.933879,-87.776672,"Schools"
"1938","Simeon Career Academy High School","8147 S Vincennes Ave","Chicago","IL","60620-1761",41.74697,-87.634679,"Schools"
"1939","Hanson Park Elem School","5411 W Fullerton Ave","Chicago","IL","60639-1459",41.923348,-87.762193,"Schools"
"1940","Edwards Elem School","4815 S Karlov Ave","Chicago","IL","60632-4123",41.805114,-87.725347,"Schools"
"1941","Schurz High School","3601 N Milwaukee Ave","Chicago","IL","60641-3033",41.946901,-87.735502,"Schools"
"1942","Juarez Community Academy HS","1450 W Cermak Rd","Chicago","IL","60608-4408",41.852548,-87.662222,"Schools"
"1943","Thomas Kelly College Preparatory","4136 S California Ave","Chicago","IL","60632-1817",41.819261,-87.695204,"Schools"
"1944","KIPP Chicago Charter Schools","4818 W Ohio St","Chicago","IL","60644-1702",41.891526,-87.746174,"Schools"
"1945","Youth Connections Charter HS","10 W 35th St","Chicago","IL","60616-3717",41.831397,-87.627311,"Schools"
"1946","CICS - Irving Park Campus","3820 N Spaulding Ave","Chicago","IL","60618-4413",41.95087,-87.71071,"Schools"
"1947","CICS - Bucktown Campus","2235 N Hamilton Ave","Chicago","IL","60647-3303",41.922505,-87.681151,"Schools"
"1948","CICS - Northtown  Campus","3900 W Peterson Ave","Chicago","IL","",41.991087,-87.727062,"Schools"
"1949","CICS - Wrightwood","8130 S California Ave","Chicago","IL","60652-2716",41.745316,-87.693426,"Schools"
"1950","CICS - Quest North Campus","1443 N Ogden Ave","Chicago","IL","60610-1007",41.907015,-87.645451,"Schools"
"1951","CICS - Ralph Ellison Campus","1817 W 80th St","Chicago","IL","60620-4557",41.748315,-87.66891,"Schools"
"1952","CICS - Bond Campus","13300 S Langley Ave","Chicago","IL","60827-1396",41.653187,-87.606344,"Schools"
"1953","CICS - Prairie Campus","11530 S Prairie Ave","Chicago","IL","60628-5612",41.68448,-87.616929,"Schools"
"1954","CICS - Avalon/South Shore","1501 E 83rd Pl","Chicago","IL","60619-6501",41.742911,-87.58769,"Schools"
"1955","CICS - Washington Pk Campus","110 E 61st St","Chicago","IL","60637-2116",41.78404,-87.6217,"Schools"
"1956","CICS - Loomis Primary Campus","9535 S Loomis St","Chicago","IL","60643-1374",41.720275,-87.65704,"Schools"
"1957","CICS - West Belden Campus","2245 N McVicker Ave","Chicago","IL","60639-2766",41.921536,-87.776513,"Schools"
"1958","CICS - Basil Campus","1816 W Garfield Blvd","Chicago","IL","60609-5606",41.794137,-87.670155,"Schools"
"1959","CICS - Longwood Campus","1309 W 95th St","Chicago","IL","60643-1496",41.720913,-87.655798,"Schools"
"1960","Noble St Chtr-The Noble Academy","1443 N Ogden Ave","Chicago","IL","60610-1007",41.907015,-87.645451,"Schools"
"1961","Noble St Chtr-Comer College Prep","7131 S South Chicago Ave","Chicago","IL","60619-1254",41.765277,-87.604129,"Schools"
"1962","Noble St Chtr-Muchin College Prep","1 N State St","Chicago","IL","60602-3302",41.88236,-87.626999,"Schools"
"1963","Noble St Chtr-Hansberry College Prep - Silver","8748 S Aberdeen St","Chicago","IL","60620-3438",41.734429,-87.651301,"Schools"
"1964","Noble St Chtr Rauner College Prep","1337 W Ohio St","Chicago","IL","60642-6430",41.892234,-87.66124,"Schools"
"1965","Noble Street Charter Schools","1 N State St Fl 7TH","Chicago","IL","60602-3302",41.88236,-87.626999,"Schools"
"1966","Noble St Chtr-UIC College Prep","1231 S Damen Ave","Chicago","IL","60608-1145",41.865229,-87.675905,"Schools"
"1967","Noble St Chtr-ITW Speer Acad","5321 W Grand Ave","Chicago","IL","60639-3009",41.917316,-87.759887,"Schools"
"1968","Noble St Chtr-Chicago Bulls Prep","2040 W Adams St","Chicago","IL","60612-3052",41.877779,-87.678282,"Schools"
"1969","Noble St Chtr-Rowe-Clark MS Acad","3645 W Chicago Ave","Chicago","IL","60651-3934",41.895256,-87.718386,"Schools"
"1970","Pullman College Prep","821 E 103rd Street","Chicago","IL","",41.707029,-87.601482,"Schools"
"1971","Noble St Chtr-Golder College Prep","1454 W Superior St","Chicago","IL","60642-5255",41.895539,-87.664561,"Schools"
"1972","Noble St Chtr-DRW Trading College Prep","931 S Homan Ave","Chicago","IL","60624-4108",41.869237,-87.709997,"Schools"
"1973","Noble St Chtr-Johnson College Prep","6350 S Stewart Ave","Chicago","IL","60621-3138",41.77836,-87.635487,"Schools"
"1974","Noble St Chtr - Mansueto","2911 W 47Th St","Chicago","IL","60632-1949",41.808081,-87.696992,"Schools"
"1975","Noble St Chtr-Pritzker College Prep","4131 W Cortland St","Chicago","IL","60639-4923",41.915085,-87.729654,"Schools"
"1976","Baker College Prep","2710 E 89th Street","Chicago","IL","",41.734325,-87.557618,"Schools"
"1977","Acero Chtr Sch Network","209 W Jackson Blvd","Chicago","IL","60606-6907",41.877916,-87.633978,"Schools"
"1978","Perspectives Chtr - Joslin Campus","1930 S Archer Ave","Chicago","IL","60616-6505",41.856244,-87.628343,"Schools"
"1979","Perspectives Chtr -  Calumet Middle","8131 S May St","Chicago","IL","60620-3007",41.745977,-87.651195,"Schools"
"1980","Perspectives Chtr - Leadership Acad","8522 S Lafayette Ave","Chicago","IL","60620-1308",41.739775,-87.626195,"Schools"
"1981","Perspectives Chtr - High School of Technology","8522 S Lafayette Ave","Chicago","IL","60620-1308",41.739775,-87.626195,"Schools"
"1982","Perspectives Chtr -  IIT Campus","3663 S Wabash Ave","Chicago","IL","60653-1032",41.827755,-87.624444,"Schools"
"1983","LEARN 10 Charter School","1811 Morrow Ave","North Chicago","IL","60064-3223",42.315534,-87.853276,"Schools"
"1984","LEARN Charter Sch 6 North Chicago Campus","3131 Sheridan Rd","Great Lakes","IL","60088-1600",42.306042,-87.843052,"Schools"
